p,0x70
b,0x62
ʬ,0x2ac
ƀ,0x180
ƥ,0x1a5
ɓ,0x253
t,0x74
d,0x64
ʭ,0x2ad
ƫ,0x1ab
ȶ,0x236
ʈ,0x288
ʇ,0x287
ƭ,0x1ad
ɖ,0x256
ɗ,0x257
ᶑ,0x1d91
c,0x63
ɟ,0x25f
ƈ,0x188
ʄ,0x284
k,0x6b
g,0x67
ɡ,0x261
ƙ,0x199
ʞ,0x29e
ɠ,0x260
q,0x71
ɢ,0x262
ʠ,0x2a0
ʛ,0x29b
ʡ,0x2a1
ʔ,0x294
ʖ,0x296
ʗ,0x297
π,0x3c0
ʘ,0x298
ǀ,0x1c0
ǃ,0x1c3
¡,0xa1
ǁ,0x1c1
ǂ,0x1c2
‖,0x2016
|,0x7c
ɸ,0x278
β,0x3b2
f,0x66
ƒ,0x192
v,0x76
θ,0x3b8
ð,0xf0
δ,0x3b4
s,0x73
z,0x7a
ʑ,0x291
ʪ,0x2aa
ʫ,0x2ab
ɬ,0x26c
ɮ,0x26e
ʃ,0x283
ʆ,0x286
ʒ,0x292
ʓ,0x293
ƪ,0x1aa
ʂ,0x282
ʐ,0x290
ç,0xe7
ɕ,0x255
ʝ,0x29d
ƺ,0x1ba
x,0x78
ɣ,0x263
ɧ,0x267
χ,0x3c7
ħ,0x127
ʕ,0x295
ƹ,0x1b9
ʜ,0x29c
ʢ,0x2a2
h,0x68
ɦ,0x266
ʩ,0x2a9
ʦ,0x2a6
ʣ,0x2a3
ʨ,0x2a8
ʥ,0x2a5
ʧ,0x2a7
ʤ,0x2a4
ƛ,0x19b
λ,0x3bb
m,0x6d
ɱ,0x271
ƞ,0x19e
n,0x6e
ɳ,0x273
ɲ,0x272
ȵ,0x235
ŋ,0x14b
ɴ,0x274
l,0x6c
ɫ,0x26b
ɭ,0x26d
ȴ,0x234
ʎ,0x28e
ʟ,0x29f
ⱱ,0x2c71
ʙ,0x299
ɾ,0x27e
r,0x72
r,0x387
ɺ,0x27a
ɼ,0x27c
ɹ,0x279
ɻ,0x27b
ɽ,0x27d
ʀ,0x280
ʁ,0x281
w,0x77
ʍ,0x28d
ʋ,0x28b
j,0x6a
ɥ,0x265
ɰ,0x270
i,0x69
ı,0x131
y,0x79
ɨ,0x268
ʉ,0x289
ɯ,0x26f
u,0x75
ɪ,0x26a
ɩ,0x269
ʏ,0x28f
ʊ,0x28a
ɷ,0x277
ʮ,0x2ae
e,0x65
ø,0xf8
ɘ,0x258
ɵ,0x275
ɤ,0x264
o,0x6f
ə,0x259
ɛ,0x25b
œ,0x153
ɜ,0x25c
ʚ,0x29a
ɞ,0x25e
ʌ,0x28c
ɔ,0x254
ɚ,0x25a
ɝ,0x25d
æ,0xe6
a,0x61
ɶ,0x276
ɐ,0x250
α,0x3b1
